handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_360e7c40-a167-ecaa-5041-8e4b9289cf86,Product,MASTIC LICHID,"<p><strong>MASTIC POLIESTER LICHID COLORAT</strong></p><p><strong>LIQUIDO MASTIC</strong></p><p>Mastic poliester lichid colorat, cu aderență ridicată și reactivitate excelentă chiar și la temperaturi scăzute. Datorită întăririi rapide și capacității de penetrare, este ideal pentru repararea imperfecțiunilor, chituire și lipire, inclusiv în condiții de temperatură joasă.</p><p><strong>ÎNTĂRITORUL ESTE INCLUS</strong></p><p><strong>1 KIT</strong></p><p><strong>PENTRU</strong> – Piatră naturală, Cuarț</p><p><strong>PLUS</strong></p><ul>	<li>Lipire puternică și rapidă</li>	<li>Reactiv chiar și la temperaturi scăzute</li>	<li>Penetrare ușoară în imperfecțiuni</li>	<li>Ideal pentru reparații și chituire</li>	<li>Aplicare facilă</li></ul><p><strong>CARACTERISTICI TEHNICE</strong></p><ul>	<li>Aspect: lichid colorat</li>	<li>Colorabil: cu paste colorante universale</li>	<li>Raport de amestec: 100 + 2/3</li>	<li>Timp de gel (25°C): 3 – 4 min</li>	<li>Fără lipire la suprafață (25°C): 15 – 20 min</li>	<li>Timp de lucru (25°C): 60 – 80 min</li></ul>",db3b5a_e4d15fb0361348d0be47457443e6a42e~mv2.jpg,MASTICI TENAX,,,0.0,,true,PERCENT,0.0,InStock,,,CULOARE,DROP_DOWN,TRANSPARENT;BEJ,CANTITATE,DROP_DOWN,1 LITRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_360e7c40-a167-ecaa-5041-8e4b9289cf86,Variant,,,,,,,,115.0,true,,,InStock,1.5,,,,TRANSPARENT,,,1 LITRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_360e7c40-a167-ecaa-5041-8e4b9289cf86,Variant,,,,,,,,80.0,true,,,InStock,2.0,,,,BEJ,,,1 LITRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b33be4b-6319-814f-8982-d14f3e85eb10,Product,MASTIC SEMISOLID WET,"<p>CULOARE:<strong> BEJ</strong></p><p>CANTITATE:<strong> 18 LITRI</strong></p><p>&nbsp;</p><p><strong>MASTIC POLIESTER SEMISOLID COLORAT</strong></p><p><strong>SEMISOLIDO WET MASTIC</strong></p><p>Mastic poliester semisolid, performant chiar și pe suprafețe umede. Se remarcă prin întărire ultra-rapidă, capacitate excelentă de aplicare și penetrare ridicată, fiind ideal pentru umplerea găurilor medii și mari (ex. travertin), reparații și lipiri.</p><p><strong>ÎNTĂRITORUL ESTE INCLUS</strong></p><p><strong>1 KIT</strong></p><p><strong>PENTRU</strong> – Piatră naturală, Cuarț</p><p><strong>PLUS</strong></p><ul>	<li>Aderență chiar și pe suprafețe umede</li>	<li>Întărire ultra-rapidă</li>	<li>Întindere excelentă</li>	<li>Penetrare ridicată</li>	<li>Ideal pentru umpleri, reparații și lipiri</li></ul><p><strong>CARACTERISTICI TEHNICE</strong></p><ul>	<li>Aspect: pastă colorată</li>	<li>Colorabil: cu paste colorante universale</li>	<li>Raport de amestec: 100 + 2/3</li>	<li>Timp de gel (25°C): 1,30 – 2,30 min</li>	<li>Fără lipire la suprafață (25°C): 5 – 10 min</li>	<li>Timp de lucru (25°C): 15 – 20 min</li></ul>",db3b5a_e4d15fb0361348d0be47457443e6a42e~mv2.jpg,MASTICI TENAX,,,790.0,,true,PERCENT,0.0,InStock,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1df21efb-5cbc-7cb0-6d14-0bceeae2f9e9,Product,MASTIC SEMISOLID,,db3b5a_e4d15fb0361348d0be47457443e6a42e~mv2.jpg,MASTICI TENAX,,PROMO 30%,0.0,,true,PERCENT,0.0,InStock,,,CULOARE,DROP_DOWN,ALB;BEJ;JURA,CANTITATE,DROP_DOWN,18 LITRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1df21efb-5cbc-7cb0-6d14-0bceeae2f9e9,Variant,,,,,,,,1032.0,true,,,InStock,30.0,,,,BEJ,,,18 LITRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1df21efb-5cbc-7cb0-6d14-0bceeae2f9e9,Variant,,,,,,,,1032.0,true,,,InStock,30.0,,,,ALB,,,18 LITRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1df21efb-5cbc-7cb0-6d14-0bceeae2f9e9,Variant,,,,,,,,894.0,true,,,InStock,30.0,,,,JURA,,,18 LITRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9aeb10c2-55fe-1b92-32fe-ab62759753a3,Product,TIXO XE TRANSPARENT,"<p><strong>MASTIC POLIESTER TRANSPARENT TIXOTROPIC</strong></p><p><strong>TIXO XE MASTIC</strong></p><p>Mastic poliester transparent, cu întărire foarte rapidă și îngălbenire redusă. Datorită consistenței tixotropice, nu curge pe suprafețele verticale, fiind ușor de aplicat și ideal pentru lipiri vizibile, laminări și reparații rapide.</p><p><strong>ÎNTĂRITORUL ESTE INCLUS</strong></p><p><strong>1 KIT</strong></p><p><strong>PENTRU</strong> – Piatră naturală, Cuarț</p><p><strong>PLUS</strong></p><ul>	<li>Lipire puternică și ultra-rapidă</li>	<li>Textură moale</li>	<li>Nu curge pe verticală</li>	<li>Aplicare ușoară</li>	<li>Întindere excelentă</li></ul><p><strong>CARACTERISTICI TEHNICE</strong></p><ul>	<li>Aspect: pastă transparentă</li>	<li>Colorabil: cu paste colorante universale</li>	<li>Raport de amestec: 100 + 2/3</li>	<li>Timp de gel (25°C): 2 – 5 min</li>	<li>Fără lipire la suprafață (25°C): ~30 min</li>	<li>Timp de lucru (25°C): 35 – 50 min</li></ul>",db3b5a_e4d15fb0361348d0be47457443e6a42e~mv2.jpg,MASTICI TENAX,,PROMO 30%,0.0,,true,PERCENT,0.0,InStock,,,CANTITATE,DROP_DOWN,1 LITRU;4 LITRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9aeb10c2-55fe-1b92-32fe-ab62759753a3,Variant,,,,,,,,384.0,true,,,InStock,5.0,,,,4 LITRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
